time/fps,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/loss,train/explained_variance,train/learning_rate,train/value_loss,train/clip_fraction,train/n_updates,train/clip_range,train/std
1133,21,2024544,1,226.17715454101562,132.06,,,,,,,,,,,
1044,47,2049120,2,225.7836456298828,135.01,0.0058061536,-17.011343002319336,-0.002719211330016454,60.706424713134766,0.9699861407279968,0.0003,124.89938863118489,0.03875325520833333,410,0.2,0.9987952709197998
1044,70,2073696,3,229.7264862060547,135.01,0.0065909442,-17.002774937947592,-0.002716956314786027,57.86811065673828,0.9724352359771729,0.0003,118.61844024658203,0.045125325520833336,415,0.2,0.9983100891113281
1027,95,2098272,4,228.1555633544922,134.17,0.0058957986,-17.002229309082033,-0.0033927750618507465,56.000186920166016,0.9729438424110413,0.0003,118.0925526936849,0.041300455729166664,420,0.2,0.9988429546356201
1022,120,2122848,5,229.77264404296875,136.06,0.0066712764,-17.00677057902018,-0.002710049731346468,53.69333267211914,0.9739565849304199,0.0003,112.96482289632162,0.028255208333333334,425,0.2,0.9985591769218445
1035,142,2147424,6,228.8322296142578,134.93,0.005612344,-16.997052637736,-0.002792357684423526,53.4304313659668,0.973717451095581,0.0003,115.30277862548829,0.04645182291666667,430,0.2,0.9973857402801514
1035,166,2172000,7,231.5808563232422,133.65,0.0060684322,-16.98366381327311,-0.0027359998629738888,55.348628997802734,0.9733628034591675,0.0003,113.17089233398437,0.04242350260416667,435,0.2,0.9964616894721985
1041,188,2196576,8,229.20042419433594,138.8,0.0071209893,-16.97044423421224,-0.0030532370321452616,54.89011764526367,0.9734327793121338,0.0003,113.3807373046875,0.047013346354166666,440,0.2,0.9950547814369202
1043,212,2221152,9,232.55613708496094,136.63,0.007757105,-16.957976150512696,-0.003372228091272215,56.92498779296875,0.9730390310287476,0.0003,115.17370910644532,0.04381510416666667,445,0.2,0.9950389862060547
1042,235,2245728,10,231.80467224121094,136.8,0.0057261437,-16.960145950317383,-0.0031942542875185607,57.127647399902344,0.9737952351570129,0.0003,114.29080149332682,0.04208170572916667,450,0.2,0.9948812127113342
1046,258,2270304,11,231.05218505859375,137.27,0.006582746,-16.95802879333496,-0.003471988641346494,54.91329574584961,0.973554790019989,0.0003,114.01751810709635,0.043294270833333336,455,0.2,0.9952213168144226
1051,280,2294880,12,231.5565643310547,138.85,0.0064343717,-16.9602970123291,-0.003310530314532419,54.84502029418945,0.9739595651626587,0.0003,113.60172068277994,0.04322102864583333,460,0.2,0.994614839553833
1051,303,2319456,13,230.7567138671875,139.18,0.008448192,-16.949381764729818,-0.003468207304831594,59.33030700683594,0.9722071290016174,0.0003,122.611062113444,0.044327799479166666,465,0.2,0.9940781593322754
1052,326,2344032,14,227.85960388183594,137.69,0.0062183454,-16.944398625691733,-0.0035812719957903027,53.9714241027832,0.975029706954956,0.0003,112.2501927693685,0.05194498697916667,470,0.2,0.993255078792572
1049,351,2368608,15,234.61709594726562,139.57,0.008071209,-16.930142720540363,-0.00413893316872418,59.572837829589844,0.9725112318992615,0.0003,121.57989705403646,0.048828125,475,0.2,0.9920294880867004
1047,375,2393184,16,233.1431884765625,139.16,0.0069855102,-16.919274775187173,-0.003066312847658992,56.14250946044922,0.9743525385856628,0.0003,115.00074259440105,0.05001627604166667,480,0.2,0.9915947914123535
1045,399,2417760,17,232.98834228515625,136.39,0.008355469,-16.91356595357259,-0.0037147864466533067,54.91684341430664,0.974882960319519,0.0003,111.84182281494141,0.05401204427083333,485,0.2,0.9907769560813904
1042,424,2442336,18,236.8468017578125,135.53,0.008781842,-16.898866399129233,-0.00460324101926138,57.078125,0.9744871258735657,0.0003,113.99853261311848,0.07984212239583334,490,0.2,0.9890304207801819
1038,449,2466912,19,237.6480255126953,140.34,0.008831568,-16.868901697794595,-0.004118484867891918,58.24403762817383,0.9734060168266296,0.0003,118.0794199625651,0.0592041015625,495,0.2,0.9858291149139404
1036,474,2491488,20,235.39625549316406,139.49,0.007605228,-16.83563664754232,-0.003187280629451076,55.51304626464844,0.9744312167167664,0.0003,114.5234151204427,0.0526611328125,500,0.2,0.9842913746833801
1035,498,2516064,21,235.5881805419922,143.47,0.009562935,-16.831174723307292,-0.004261269109944502,60.08668518066406,0.9732860922813416,0.0003,120.0205581665039,0.07747395833333333,505,0.2,0.9852876663208008
1037,521,2540640,22,233.03509521484375,142.15,0.0076895934,-16.841396840413413,-0.00401321312917086,58.54227066040039,0.9733387231826782,0.0003,120.15377197265624,0.05850423177083333,510,0.2,0.9850874543190002
1036,545,2565216,23,229.84951782226562,144.31,0.009061421,-16.827068328857422,-0.0037623223382979632,59.29976272583008,0.9742323160171509,0.0003,117.55568186442058,0.060221354166666664,515,0.2,0.9832057356834412
1035,569,2589792,24,242.95628356933594,141.2,0.008141794,-16.80135981241862,-0.004504964112614592,60.552406311035156,0.9729369282722473,0.0003,127.13289235432943,0.071044921875,520,0.2,0.9812436699867249
1036,592,2614368,25,238.64364624023438,142.99,0.006644167,-16.78048718770345,-0.0029333081717292466,56.448822021484375,0.9746906757354736,0.0003,116.4448979695638,0.05402018229166667,525,0.2,0.980013906955719
