rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/std,train/n_updates,train/explained_variance,train/learning_rate,train/entropy_loss,train/loss,train/approx_kl,train/clip_range
228.49534606933594,1181,20,2024544,1,134.98,,,,,,,,,,,
229.06101989746094,1088,45,2049120,2,135.39,-0.0027184483439972,122.70911458333333,0.027766927083333334,0.9955866932868958,410,0.9714308381080627,0.0003,-16.963382085164387,59.16054153442383,0.0067188926,0.2
228.48583984375,1066,69,2073696,3,135.54,-0.003041704806188742,116.274587504069,0.047078450520833336,0.9959921836853027,415,0.9725418090820312,0.0003,-16.968563842773438,56.19049072265625,0.0059804455,0.2
232.07254028320312,1050,93,2098272,4,135.57,-0.003345958904052774,121.96681009928385,0.030631510416666667,0.9960139393806458,420,0.9712496995925903,0.0003,-16.97143185933431,58.762664794921875,0.0071995556,0.2
228.33282470703125,1040,118,2122848,5,136.48,-0.003335454656432072,113.40929158528645,0.0517822265625,0.995857298374176,425,0.973222017288208,0.0003,-16.969827143351235,54.8484992980957,0.007406473,0.2
233.88397216796875,1049,140,2147424,6,138.73,-0.002829032007139176,128.01702270507812,0.042862955729166666,0.9960358142852783,430,0.9694651365280151,0.0003,-16.96890525817871,58.79270935058594,0.0068533714,0.2
226.5634765625,1049,163,2172000,7,137.43,-0.003180346032604575,112.80132598876953,0.0465087890625,0.9968501925468445,435,0.9739413261413574,0.0003,-16.974484125773113,54.131446838378906,0.005734637,0.2
229.3349609375,1056,186,2196576,8,139.25,-0.003186265161881844,122.8476323445638,0.053483072916666666,0.9973055720329285,440,0.9707521796226501,0.0003,-16.982902654012044,57.77838134765625,0.0075583444,0.2
233.12562561035156,1050,210,2221152,9,136.37,-0.003331380950597425,113.22659708658854,0.042317708333333336,0.9965781569480896,445,0.9740439653396606,0.0003,-16.98283297220866,55.081634521484375,0.0068304497,0.2
234.21392822265625,1051,233,2245728,10,134.56,-0.0034057658320913713,116.76645965576172,0.04510904947916667,0.995151698589325,450,0.9725335240364075,0.0003,-16.9683474222819,55.260555267333984,0.008161999,0.2
232.92774963378906,1053,256,2270304,11,134.34,-0.0031865989013264576,107.33035329182943,0.0497802734375,0.9941003918647766,455,0.9746859073638916,0.0003,-16.95094045003255,51.758853912353516,0.007177055,0.2
232.6694793701172,1056,279,2294880,12,135.79,-0.003258371252256135,112.04177907307943,0.050390625,0.9940293431282043,460,0.9735442399978638,0.0003,-16.944031524658204,55.26186752319336,0.008170772,0.2
237.71603393554688,1055,302,2319456,13,138.12,-0.0033263688907027244,112.16356404622395,0.0493408203125,0.9949918389320374,465,0.9738196730613708,0.0003,-16.94814618428548,53.9144172668457,0.0075348583,0.2
225.42605590820312,1052,327,2344032,14,142.4,-0.003985626731688777,112.307568359375,0.05841471354166667,0.9952103495597839,470,0.9742377400398254,0.0003,-16.95706214904785,55.93434143066406,0.006751088,0.2
225.5703125,1049,351,2368608,15,139.9,-0.0029774216236546636,123.1923823038737,0.037858072916666666,0.9941573143005371,475,0.9709702730178833,0.0003,-16.95243593851725,59.32187271118164,0.007359959,0.2
236.07810974121094,1049,374,2393184,16,139.05,-0.003486777232804646,124.71189880371094,0.04702962239583333,0.9926096796989441,480,0.9715834259986877,0.0003,-16.93559544881185,60.14402770996094,0.0072106957,0.2
236.15371704101562,1042,400,2417760,17,136.59,-0.004400557473612328,112.85165710449219,0.07953287760416666,0.9915556311607361,485,0.9745036959648132,0.0003,-16.918762715657554,54.67145919799805,0.009106997,0.2
234.50949096679688,1040,425,2442336,18,135.22,-0.004112566666056712,124.63412729899089,0.06275227864583334,0.9915242791175842,490,0.9712749123573303,0.0003,-16.911818567911784,61.498634338378906,0.006993852,0.2
236.3631591796875,1039,449,2466912,19,138.03,-0.002938636850255231,116.15154317220052,0.05065104166666667,0.9911232590675354,495,0.9732984900474548,0.0003,-16.911439005533854,57.468223571777344,0.0070480295,0.2
234.01527404785156,1039,473,2491488,20,136.64,-0.0038349240397413573,117.41458435058594,0.053995768229166664,0.9903087615966797,500,0.973334014415741,0.0003,-16.901875432332357,57.10443878173828,0.00733629,0.2
236.0816650390625,1036,497,2516064,21,136.87,-0.0034014230128377675,113.25150705973307,0.05556640625,0.9897248148918152,505,0.9740740060806274,0.0003,-16.8934689839681,58.238834381103516,0.007096415,0.2
238.11123657226562,1036,521,2540640,22,138.82,-0.00363603038713336,118.75015767415364,0.05902506510416667,0.9900659918785095,510,0.973526656627655,0.0003,-16.88991355895996,57.70314407348633,0.006983891,0.2
236.79310607910156,1037,544,2565216,23,142.64,-0.0025260671973228455,115.85782318115234,0.04161783854166667,0.9893795847892761,515,0.9738859534263611,0.0003,-16.891080729166667,57.321353912353516,0.0070466367,0.2
239.52020263671875,1038,568,2589792,24,143.77,-0.0036797134904190897,124.76318562825521,0.045654296875,0.9888512492179871,520,0.9722034335136414,0.0003,-16.880374399820962,60.22493362426758,0.006725094,0.2
241.64132690429688,1037,592,2614368,25,145.62,-0.003476936323568225,120.05758514404297,0.05892740885416667,0.9889218211174011,525,0.973600447177887,0.0003,-16.877766291300457,60.82769012451172,0.0067743044,0.2
242.29246520996094,1039,614,2638944,26,144.02,-0.0035421716204533976,120.69033864339193,0.06426595052083334,0.9897424578666687,530,0.9734045267105103,0.0003,-16.88284352620443,61.51859664916992,0.008312811,0.2
240.1254119873047,1040,637,2663520,27,139.5,-0.0038029728379721443,122.65163879394531,0.0585205078125,0.9895430207252502,535,0.9726480841636658,0.0003,-16.889535013834635,60.543697357177734,0.007662598,0.2
237.98883056640625,1041,660,2688096,28,142.58,-0.003832391897837321,114.5451416015625,0.07421875,0.9889755249023438,540,0.9744636416435242,0.0003,-16.88336524963379,56.91305923461914,0.010232872,0.2
240.4254150390625,1041,684,2712672,29,142.47,-0.0036385841357211273,120.19449818929037,0.0642578125,0.9883517622947693,545,0.9736522436141968,0.0003,-16.876063919067384,61.002105712890625,0.007572284,0.2
238.31031799316406,1041,707,2737248,30,143.93,-0.002706984740992387,117.09787241617839,0.04181315104166667,0.9878496527671814,550,0.9744551181793213,0.0003,-16.867543665568032,56.550018310546875,0.008013739,0.2
