time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/value_loss,train/n_updates,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/loss,train/entropy_loss,train/approx_kl,train/clip_fraction,train/std,train/explained_variance
2024544,1,133.5,231.15589904785156,1116,22,,,,,,,,,,,
2049120,2,133.07,228.19744873046875,1039,47,119.7568593343099,410,-0.002696417357462148,0.2,0.0003,56.549766540527344,-16.990709177652995,0.0057604373,0.040144856770833334,0.9967719912528992,0.9724918603897095
2073696,3,136.11,228.7985382080078,1030,71,117.68329772949218,415,-0.003083248040638864,0.2,0.0003,56.0694580078125,-16.977638880411785,0.004666587,0.050740559895833336,0.996032178401947,0.9718683958053589
2098272,4,133.54,230.0364990234375,1038,94,116.86412048339844,420,-0.0037468310814195624,0.2,0.0003,56.4626579284668,-16.97125638326009,0.0073834066,0.0547119140625,0.9956607818603516,0.9730154275894165
2122848,5,131.36,232.0620574951172,1049,117,115.02054138183594,425,-0.002685493843940397,0.2,0.0003,55.53901290893555,-16.97156550089518,0.00626359,0.043196614583333334,0.9962728023529053,0.9726913571357727
2147424,6,133.1,229.37661743164062,1052,140,112.20744272867839,430,-0.002854127037183692,0.2,0.0003,54.020965576171875,-16.98183682759603,0.005424361,0.04235026041666667,0.9974408149719238,0.9731249809265137
2172000,7,133.1,228.43930053710938,1046,164,114.10472971598307,435,-0.0031172090442851187,0.2,0.0003,54.68254852294922,-16.990629196166992,0.008931912,0.0521728515625,0.9972147941589355,0.9726141095161438
2196576,8,133.11,232.64341735839844,1049,187,117.00657246907552,440,-0.002637184946797788,0.2,0.0003,55.78214645385742,-16.985888671875,0.0066350685,0.025553385416666668,0.9970775246620178,0.9718955755233765
2221152,9,134.53,233.05966186523438,1054,209,110.33253835042318,445,-0.003362865105737001,0.2,0.0003,54.90010452270508,-16.984616978963217,0.0070719332,0.06358235677083333,0.9967116713523865,0.9732615947723389
2245728,10,134.12,230.73411560058594,1055,232,109.50276133219401,450,-0.0032654170567790668,0.2,0.0003,54.6162223815918,-16.980280049641927,0.0067637092,0.0518798828125,0.996818482875824,0.9742584824562073
2270304,11,135.03,234.6173095703125,1057,255,112.95376129150391,455,-0.0038738424734522897,0.2,0.0003,55.51018142700195,-16.986384709676106,0.007955347,0.0563720703125,0.9975674748420715,0.9730396270751953
2294880,12,136.83,229.80606079101562,1057,278,112.34004211425781,460,-0.0034572701745977006,0.2,0.0003,53.73957443237305,-16.989008967081705,0.0063118213,0.04742838541666667,0.9967103004455566,0.9738479852676392
2319456,13,137.85,236.8896026611328,1051,303,116.78429463704427,465,-0.0032128702538708844,0.2,0.0003,57.32556915283203,-16.976406606038413,0.0057634176,0.04867350260416667,0.996147096157074,0.9724208116531372
2344032,14,136.16,237.89878845214844,1047,328,117.30605672200521,470,-0.003459292510524392,0.2,0.0003,57.5413932800293,-16.973813756306967,0.006367955,0.051041666666666666,0.996042788028717,0.9729722142219543
2368608,15,139.11,236.9520263671875,1047,352,109.57312723795573,475,-0.0028790965676307677,0.2,0.0003,53.976402282714844,-16.969363530476887,0.0059704636,0.04959309895833333,0.9954014420509338,0.974484384059906
2393184,16,139.46,235.7476806640625,1045,376,113.26120198567709,480,-0.003459747275337577,0.2,0.0003,56.9713134765625,-16.9565549214681,0.006975505,0.0495849609375,0.9935432076454163,0.9736292362213135
2417760,17,139.31,234.41050720214844,1043,400,118.92835591634115,485,-0.004129360895603895,0.2,0.0003,57.140350341796875,-16.93350461324056,0.006775888,0.061482747395833336,0.9922428727149963,0.9724568128585815
2442336,18,138.06,235.08509826660156,1041,424,114.9349609375,490,-0.003463441700053712,0.2,0.0003,58.647911071777344,-16.92188491821289,0.006979788,0.056778971354166666,0.9915406107902527,0.973569393157959
2466912,19,137.68,238.07945251464844,1040,448,112.45946553548177,495,-0.004113892527918021,0.2,0.0003,56.74489212036133,-16.90987637837728,0.008339458,0.061971028645833336,0.9902345538139343,0.9742070436477661
