time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,train/approx_kl,train/learning_rate,train/entropy_loss,train/loss,train/clip_range,train/n_updates,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/std,train/value_loss
2024544,1,226.3365020751953,1123,134.1,21,,,,,,,,,,,
2049120,2,227.8852996826172,984,132.64,49,0.0068713645,0.0003,-16.98482805887858,58.867008209228516,0.2,410,0.9712983965873718,0.037190755208333336,-0.0026346527660886447,0.9964356422424316,122.49635162353516
2073696,3,234.9169464111328,950,134.27,77,0.00500315,0.0003,-16.972882588704426,54.9100227355957,0.2,415,0.9722055196762085,0.04523111979166667,-0.002774244112273057,0.9960379600524902,116.20357208251953
2098272,4,230.4098663330078,967,133.16,101,0.0057635983,0.0003,-16.97345708211263,56.50835418701172,0.2,420,0.9736867547035217,0.049275716145833336,-0.0027435399203871685,0.9964078068733215,115.32133382161459
2122848,5,230.14236450195312,992,136.61,123,0.0053033694,0.0003,-16.974348068237305,53.202903747558594,0.2,425,0.9730971455574036,0.045003255208333336,-0.0029133066923047106,0.9959258437156677,113.16818593343099
2147424,6,233.7582550048828,1004,134.71,146,0.005806805,0.0003,-16.967494455973306,60.39159393310547,0.2,430,0.9699209332466125,0.04659830729166667,-0.0030964701746900875,0.9956212043762207,127.3544209798177
2172000,7,231.80052185058594,1017,133.83,169,0.007060074,0.0003,-16.964392217000327,54.54291915893555,0.2,435,0.9736401438713074,0.0523193359375,-0.0031589066299299398,0.995098352432251,112.15915323893229
2196576,8,231.0562744140625,1020,134.49,192,0.0068265405,0.0003,-16.95613327026367,52.1633186340332,0.2,440,0.9732805490493774,0.04375,-0.003196977397116522,0.9946190714836121,111.90535634358724
2221152,9,234.0293731689453,1025,133.77,215,0.006869418,0.0003,-16.954340108235677,54.79409408569336,0.2,445,0.9728966951370239,0.0535400390625,-0.0033560110876957577,0.9948099255561829,114.5317886352539
2245728,10,234.51239013671875,1033,134.11,237,0.0056019686,0.0003,-16.95512949625651,53.85641098022461,0.2,450,0.973854660987854,0.051676432291666664,-0.003502091346308589,0.9945562481880188,110.32144266764323
