time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/fps,train/value_loss,train/clip_range,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/loss,train/explained_variance,train/clip_fraction,train/std
2024544,130.88,20,1,230.38070678710938,1172,,,,,,,,,,,
2049120,131.5,46,2,231.46609497070312,1048,117.91323954264323,0.2,0.006531609,-17.080111185709637,-0.0025449126299160224,410,0.0003,57.173587799072266,0.9718773365020752,0.03558756510416667,1.0048106908798218
2073696,130.52,70,3,229.55787658691406,1043,115.65433553059896,0.2,0.004768741,-17.075847498575847,-0.0028526037155340114,415,0.0003,56.00936508178711,0.9722263813018799,0.037646484375,1.0045453310012817
2098272,130.61,92,4,230.94573974609375,1065,113.11002858479817,0.2,0.007209348,-17.07410519917806,-0.002575557919529577,420,0.0003,53.9166374206543,0.9733986854553223,0.048966471354166666,1.0044877529144287
2122848,133.11,114,5,230.8740692138672,1074,112.68823852539063,0.2,0.0076408735,-17.07298889160156,-0.0026136368901158373,425,0.0003,53.712738037109375,0.9731763005256653,0.047932942708333336,1.0044784545898438
2147424,137.97,138,6,230.03509521484375,1062,115.22179667154948,0.2,0.0060240705,-17.072628275553384,-0.002752418187446892,430,0.0003,54.798194885253906,0.9726160764694214,0.03881022135416667,1.004275918006897
2172000,133.61,163,7,232.27513122558594,1050,124.1322235107422,0.2,0.005780931,-17.066903813680014,-0.0033513006443778672,435,0.0003,60.966670989990234,0.970558762550354,0.05191243489583333,1.0037282705307007
2196576,137.71,186,8,231.33343505859375,1051,118.09936319986979,0.2,0.006093072,-17.057568995157876,-0.0037771006813272835,440,0.0003,56.3487548828125,0.9718402028083801,0.05194498697916667,1.0026170015335083
2221152,135.45,210,9,232.53866577148438,1052,110.83117879231771,0.2,0.006601417,-17.04043197631836,-0.003149500722065568,445,0.0003,53.81648254394531,0.9742135405540466,0.03673502604166667,1.0010076761245728
2245728,134.37,232,10,233.20877075195312,1057,112.77574310302734,0.2,0.0062410026,-17.023126729329427,-0.0033332844109584888,450,0.0003,54.608306884765625,0.9734147191047668,0.0440673828125,0.9999794960021973
2270304,137.27,255,11,225.93246459960938,1056,108.96507720947265,0.2,0.006680316,-17.018313725789387,-0.003408840508200228,455,0.0003,53.442413330078125,0.9744535684585571,0.04925944010416667,1.0006271600723267
2294880,136.32,279,12,229.01805114746094,1055,119.91311848958334,0.2,0.0065637236,-17.023273213704428,-0.0032601646147668363,460,0.0003,57.43731689453125,0.971354603767395,0.04916178385416667,0.999821662902832
2319456,133.1,302,13,233.39346313476562,1057,118.45645446777344,0.2,0.007526944,-17.007914352416993,-0.0036951868794858457,465,0.0003,57.25096893310547,0.9724809527397156,0.057535807291666664,0.9990839958190918
