rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,train/entropy_loss,train/value_loss,train/clip_fraction,train/learning_rate,train/approx_kl,train/explained_variance,train/n_updates,train/clip_range,train/policy_gradient_loss,train/loss,train/std
172.85507202148438,1260,19,24576,129.04,1,,,,,,,,,,,
170.6131591796875,1204,40,49152,128.44,2,-17.036610794067382,1058.0515177408854,0.016634114583333335,0.0003,0.0052071395,0.00133514404296875,5,0.2,-0.0055258479124555985,513.3184814453125,1.0016776323318481
171.3087921142578,1205,61,73728,129.27,3,-17.051275889078777,1049.404178873698,0.0014973958333333334,0.0003,0.002122893,0.04115629196166992,10,0.2,-0.0027756842396532496,502.20062255859375,1.0020737648010254
172.9185028076172,1184,82,98304,131.79,4,-17.05339660644531,1020.3415364583333,0.00035807291666666664,0.0003,0.0016014585,0.08450037240982056,15,0.2,-0.0017421592259779573,487.5882873535156,1.0024610757827759
176.8775634765625,1163,105,122880,129.89,5,-17.05745569864909,998.3663208007813,8.951822916666666e-05,0.0003,0.0010742313,0.13132476806640625,20,0.2,-0.0013419028759623568,472.9002380371094,1.0024131536483765
174.5912322998047,1157,127,147456,134.9,6,-17.057024892171224,957.3605590820313,1.6276041666666666e-05,0.0003,0.00072386937,0.1865394115447998,25,0.2,-0.0009090621722862124,452.2435302734375,1.0027711391448975
176.63546752929688,1150,149,172032,131.5,7,-17.064035415649414,936.5868245442708,8.138020833333333e-06,0.0003,0.0007338997,0.23883700370788574,30,0.2,-0.0012015168089419604,437.7467346191406,1.0033754110336304
179.39527893066406,1141,172,196608,133.92,8,-17.06963233947754,912.0869181315104,0.0,0.0003,0.000783477,0.2918318510055542,35,0.2,-0.0010843599370370309,433.98681640625,1.0036782026290894
178.34327697753906,1141,193,221184,134.97,9,-17.071262868245444,875.1720825195313,8.138020833333333e-06,0.0003,0.0007727568,0.35312652587890625,40,0.2,-0.0013618719783456375,415.48040771484375,1.0036545991897583
178.0207061767578,1147,214,245760,135.57,10,-17.070702107747397,870.4841023763021,2.44140625e-05,0.0003,0.00063356495,0.38490188121795654,45,0.2,-0.0013029467624922594,415.06298828125,1.0036243200302124
172.61514282226562,1143,236,270336,136.23,11,-17.071538543701173,868.5982950846354,8.138020833333333e-06,0.0003,0.0006776072,0.4115712642669678,50,0.2,-0.0013216012700771292,415.8369140625,1.0038679838180542
181.50802612304688,1135,259,294912,134.68,12,-17.073751958211265,895.8140218098958,0.0,0.0003,0.0008504065,0.43321895599365234,55,0.2,-0.0013972975080832838,429.909912109375,1.0037884712219238
186.5803680419922,1135,281,319488,136.1,13,-17.072397867838543,823.7545288085937,1.6276041666666666e-05,0.0003,0.0009657773,0.4795587658882141,60,0.2,-0.001375497307162732,399.79498291015625,1.0039341449737549
186.96734619140625,1135,303,344064,131.93,14,-17.075564193725587,803.5087483723959,8.138020833333333e-06,0.0003,0.00076420215,0.5111775398254395,65,0.2,-0.0010010534431785345,386.5936584472656,1.0041204690933228
179.58616638183594,1137,324,368640,135.92,15,-17.076540501912437,758.6314290364584,0.00018717447916666668,0.0003,0.0012793813,0.5696804523468018,70,0.2,-0.0015729359516020243,369.31939697265625,1.004132628440857
183.95718383789062,1137,345,393216,136.32,16,-17.076458485921226,767.9108805338542,0.00013020833333333333,0.0003,0.0014277902,0.5733051300048828,75,0.2,-0.0014687766786664724,367.6784362792969,1.0041314363479614
192.51856994628906,1134,368,417792,133.49,17,-17.07669143676758,777.4715454101563,4.8828125e-05,0.0003,0.0010145734,0.5726832151412964,80,0.2,-0.001315036501425008,376.7236633300781,1.0041604042053223
184.96971130371094,1132,390,442368,136.83,18,-17.078787104288736,711.5657796223958,1.6276041666666666e-05,0.0003,0.0006734017,0.6372422575950623,85,0.2,-0.0010773817271304627,339.7823486328125,1.0046459436416626
192.43130493164062,1129,413,466944,133.37,19,-17.085170618693034,721.7204142252605,5.6966145833333334e-05,0.0003,0.0009549793,0.6522338390350342,90,0.2,-0.0015243222316106161,343.0312805175781,1.0050190687179565
190.96852111816406,1130,434,491520,134.55,20,-17.08964309692383,643.2250244140625,0.0001220703125,0.0003,0.0012542185,0.7085866928100586,95,0.2,-0.0014673020613069335,312.8154602050781,1.0055938959121704
186.01148986816406,1133,455,516096,133.03,21,-17.097181828816733,632.1339721679688,0.000341796875,0.0003,0.0015801761,0.720859169960022,100,0.2,-0.0017539818227911988,303.1786193847656,1.0061324834823608
190.15855407714844,1138,475,540672,135.77,22,-17.10157610575358,604.9585774739584,0.00015462239583333333,0.0003,0.0013173801,0.7505047917366028,105,0.2,-0.0016099677653983236,294.28106689453125,1.0063291788101196
190.9164581298828,1138,496,565248,132.87,23,-17.10284487406413,583.1496215820313,0.0002685546875,0.0003,0.0015147408,0.7709145545959473,110,0.2,-0.0016662360673459868,281.6925964355469,1.0063592195510864
189.15179443359375,1141,516,589824,135.19,24,-17.10382906595866,551.9206665039062,2.44140625e-05,0.0003,0.0008961631,0.7978970408439636,115,0.2,-0.0012270574535553655,264.6266784667969,1.0065327882766724
196.68576049804688,1140,538,614400,132.14,25,-17.105578740437824,537.4709208170573,0.00038248697916666666,0.0003,0.0017474658,0.812338650226593,120,0.2,-0.0018902692866201202,255.43995666503906,1.0065836906433105
195.2748565673828,1141,559,638976,132.51,26,-17.105893961588542,499.15183308919273,0.0033203125,0.0003,0.0030174789,0.8381595611572266,125,0.2,-0.0022921099055868885,238.6282958984375,1.006648063659668
194.6734161376953,1141,581,663552,133.65,27,-17.106273396809897,489.7034647623698,0.0038004557291666666,0.0003,0.00306056,0.8471266031265259,130,0.2,-0.001998509101880093,234.96141052246094,1.0065215826034546
199.82305908203125,1143,601,688128,132.48,28,-17.102445602416992,479.0811706542969,0.001220703125,0.0003,0.0022667004,0.8562812209129333,135,0.2,-0.0016889562054226797,232.30397033691406,1.005956768989563
195.3223419189453,1145,622,712704,134.82,29,-17.097863260904948,459.3018371582031,0.0023518880208333332,0.0003,0.00255685,0.8723670840263367,140,0.2,-0.0021773887196710954,221.4803009033203,1.0060969591140747
195.82879638671875,1145,643,737280,134.77,30,-17.1021427154541,451.2952880859375,0.0025553385416666667,0.0003,0.0027026187,0.8718091249465942,145,0.2,-0.0019705307320691647,217.96112060546875,1.0064258575439453
193.94065856933594,1145,665,761856,132.92,31,-17.10262082417806,427.8223876953125,0.0030029296875,0.0003,0.0028577612,0.8822200894355774,150,0.2,-0.002053415907236437,202.89695739746094,1.0060642957687378
197.1389617919922,1146,685,786432,136.83,32,-17.097839864095054,409.9712178548177,0.005533854166666667,0.0003,0.0035648188,0.8880707621574402,155,0.2,-0.0021083216182887555,198.60325622558594,1.005874752998352
202.0424041748047,1148,706,811008,133.72,33,-17.096141815185547,413.18895467122394,0.0060546875,0.0003,0.003566578,0.8895383477210999,160,0.2,-0.002255838088846455,199.65765380859375,1.0056184530258179
198.05413818359375,1149,726,835584,134.69,34,-17.096807988484702,388.6494160970052,0.006477864583333334,0.0003,0.0037857743,0.9016664028167725,165,0.2,-0.002361939890154948,184.55230712890625,1.0063762664794922
202.2808380126953,1147,749,860160,133.59,35,-17.10593147277832,389.3174072265625,0.005354817708333333,0.0003,0.0034758493,0.8976789116859436,170,0.2,-0.002329611211704711,185.7501220703125,1.0066760778427124
204.47579956054688,1143,773,884736,130.81,36,-17.10645408630371,374.47374064127604,0.004150390625,0.0003,0.003213796,0.901792049407959,175,0.2,-0.0022952303911248843,179.946533203125,1.0067037343978882
205.86727905273438,1141,796,909312,129.2,37,-17.104109446207683,351.9012736002604,0.006827799479166666,0.0003,0.003834823,0.9102476239204407,180,0.2,-0.0020620695121275883,168.6071319580078,1.006045937538147
207.10072326660156,1140,818,933888,130.85,38,-17.093940353393556,340.47935180664064,0.004280598958333334,0.0003,0.003272726,0.9130333662033081,185,0.2,-0.002067360980436206,163.16015625,1.0051707029342651
204.66278076171875,1140,840,958464,131.11,39,-17.086061731974283,337.7315714518229,0.004866536458333333,0.0003,0.003284979,0.9134936332702637,190,0.2,-0.0019204263226129115,160.8670654296875,1.0048599243164062
207.2117156982422,1140,862,983040,129.68,40,-17.08626594543457,342.85047810872396,0.004410807291666667,0.0003,0.0032062742,0.9067931175231934,195,0.2,-0.0020430975050354998,167.31285095214844,1.0052534341812134
207.30474853515625,1141,882,1007616,131.69,41,-17.089963150024413,330.2136942545573,0.009415690104166667,0.0003,0.0043181307,0.9128465056419373,200,0.2,-0.0022060389436470967,159.21885681152344,1.005216360092163
210.6967010498047,1139,905,1032192,128.37,42,-17.087200927734376,324.3318705240885,0.014371744791666667,0.0003,0.005137608,0.9149033427238464,205,0.2,-0.0027697942859958857,157.25604248046875,1.0049649477005005
205.73646545410156,1138,928,1056768,132.77,43,-17.08520482381185,310.1980021158854,0.021272786458333335,0.0003,0.0063104792,0.9187204837799072,210,0.2,-0.0029969347446846466,151.3461151123047,1.0048500299453735
206.44261169433594,1137,950,1081344,133.39,44,-17.083651860555012,309.76181844075523,0.0030843098958333332,0.0003,0.0027604979,0.9169505834579468,215,0.2,-0.002011136699002236,150.69468688964844,1.004746437072754
208.3026123046875,1136,972,1105920,130.74,45,-17.08243662516276,304.9673787434896,0.0028889973958333335,0.0003,0.0025758937,0.9182339310646057,220,0.2,-0.0018325644234816233,147.6047821044922,1.004655361175537
209.46224975585938,1136,994,1130496,129.78,46,-17.080332438151043,294.0374450683594,0.0218017578125,0.0003,0.006293146,0.9234477877616882,225,0.2,-0.0025316647641981643,144.24778747558594,1.0043693780899048
208.36737060546875,1137,1015,1155072,129.98,47,-17.077363713582358,286.89952189127604,0.009944661458333334,0.0003,0.0044780932,0.9251811504364014,230,0.2,-0.001972618846533199,137.5504913330078,1.004229187965393
205.38697814941406,1137,1036,1179648,131.41,48,-17.076395416259764,281.13500162760414,0.011295572916666666,0.0003,0.0046704817,0.9274033308029175,235,0.2,-0.002368501240077118,131.28224182128906,1.004240870475769
209.4286651611328,1138,1058,1204224,131.82,49,-17.07453219095866,276.5517537434896,0.007088216145833334,0.0003,0.003721854,0.9269899129867554,240,0.2,-0.001965869835112244,133.79623413085938,1.0038021802902222
214.15798950195312,1138,1079,1228800,134.51,50,-17.069357426961265,270.86589965820315,0.0055582682291666664,0.0003,0.0035369946,0.9305947422981262,245,0.2,-0.0017060869528601568,127.58970642089844,1.0035828351974487
212.63400268554688,1138,1100,1253376,131.78,51,-17.06783307393392,261.71123860677085,0.020711263020833332,0.0003,0.005993709,0.9348462820053101,250,0.2,-0.0021488949928122262,125.49217987060547,1.0035115480422974
212.4286651611328,1139,1121,1277952,131.13,52,-17.06916681925456,260.30543823242186,0.014640299479166667,0.0003,0.005344315,0.9326730370521545,255,0.2,-0.0022305014543235304,123.92863464355469,1.0038052797317505
211.74234008789062,1139,1143,1302528,131.75,53,-17.072080612182617,241.49224955240885,0.010872395833333333,0.0003,0.004844121,0.9402444362640381,260,0.2,-0.002429198465930919,115.12823486328125,1.003900170326233
215.02239990234375,1139,1164,1327104,130.5,54,-17.071465047200522,233.19721476236978,0.012801106770833333,0.0003,0.0049904916,0.9437977075576782,265,0.2,-0.002254902827553451,111.506103515625,1.0037192106246948
211.14723205566406,1140,1184,1351680,128.82,55,-17.068379847208657,229.29167887369792,0.015812174479166666,0.0003,0.005267497,0.9441940188407898,270,0.2,-0.002443127807540198,110.76656341552734,1.0034140348434448
213.03677368164062,1141,1205,1376256,133.52,56,-17.066844940185547,222.5453308105469,0.021175130208333334,0.0003,0.0062702163,0.9437053799629211,275,0.2,-0.0026672412874177097,105.14261627197266,1.0035114288330078
217.54275512695312,1140,1227,1400832,131.42,57,-17.066755294799805,223.8019785563151,0.005753580729166667,0.0003,0.0034706953,0.9462728500366211,280,0.2,-0.0016658557966972392,106.95967864990234,1.003285527229309
215.23446655273438,1140,1250,1425408,133.11,58,-17.06369069417318,203.88485717773438,0.009765625,0.0003,0.0044930405,0.9532198905944824,285,0.2,-0.0020990831738648317,97.76265716552734,1.0031687021255493
217.83033752441406,1139,1272,1449984,132.24,59,-17.05789591471354,204.23676350911458,0.03583984375,0.0003,0.007112618,0.9505530595779419,290,0.2,-0.0028426959256952007,97.1013412475586,1.0021253824234009
217.3066864013672,1139,1293,1474560,131.68,60,-17.046459452311197,198.10201924641927,0.014884440104166667,0.0003,0.0048954966,0.9529085755348206,295,0.2,-0.001952671407101055,95.87367248535156,1.0015605688095093
218.79287719726562,1138,1316,1499136,130.05,61,-17.041937637329102,193.51739196777345,0.03623046875,0.0003,0.006229166,0.9528452754020691,300,0.2,-0.0024772324599325658,92.92875671386719,1.0012887716293335
219.66810607910156,1138,1338,1523712,132.02,62,-17.043786239624023,185.9576436360677,0.0164306640625,0.0003,0.005286139,0.9569133520126343,305,0.2,-0.002017858740873635,89.71204376220703,1.0021940469741821
220.1129150390625,1138,1360,1548288,132.0,63,-17.05589065551758,185.17461242675782,0.03665364583333333,0.0003,0.005558723,0.9558588266372681,310,0.2,-0.002125791848326723,85.439453125,1.002926230430603
220.02146911621094,1138,1382,1572864,130.58,64,-17.060297775268555,177.80096740722655,0.016593424479166667,0.0003,0.0048316475,0.9583749771118164,315,0.2,-0.002171194727998227,85.61344146728516,1.0028163194656372
219.39892578125,1138,1402,1597440,132.79,65,-17.058469645182292,181.4856384277344,0.027392578125,0.0003,0.0045931917,0.9555844664573669,320,0.2,-0.002194294387785097,87.71046447753906,1.003002643585205
221.70828247070312,1139,1423,1622016,132.9,66,-17.061981201171875,180.5487091064453,0.024462890625,0.0003,0.006246362,0.9568197727203369,325,0.2,-0.002676444104872644,89.2823257446289,1.0030585527420044
221.6555633544922,1138,1445,1646592,132.88,67,-17.058269119262697,165.42346903483073,0.029630533854166665,0.0003,0.0051130033,0.9615675210952759,330,0.2,-0.0025571007902423543,78.35172271728516,1.0025124549865723
220.83399963378906,1138,1467,1671168,133.89,68,-17.050980885823567,158.9688700358073,0.023404947916666665,0.0003,0.0040581394,0.9633195996284485,335,0.2,-0.002449625439476222,77.56025695800781,1.0019015073776245
220.0830841064453,1138,1489,1695744,133.99,69,-17.045821762084962,157.5584706624349,0.0343994140625,0.0003,0.0053946697,0.9639612436294556,340,0.2,-0.0029800618610655266,74.79644012451172,1.0020766258239746
226.2919464111328,1137,1512,1720320,135.42,70,-17.04940045674642,156.20614217122395,0.029313151041666666,0.0003,0.007940863,0.9628401398658752,345,0.2,-0.0026413435853707293,75.24652099609375,1.0021405220031738
224.9939422607422,1137,1533,1744896,133.32,71,-17.047427368164062,152.9072723388672,0.03607584635416667,0.0003,0.007329997,0.9654621481895447,350,0.2,-0.002231613468999664,72.21542358398438,1.0020955801010132
222.55421447753906,1137,1555,1769472,132.69,72,-17.045734786987303,146.48662414550782,0.016300455729166666,0.0003,0.005279874,0.9666304588317871,355,0.2,-0.0021892631232428056,70.28866577148438,1.0016709566116333
227.4140625,1136,1578,1794048,132.54,73,-17.036184056599936,148.86053975423178,0.033984375,0.0003,0.0060233637,0.9643387198448181,360,0.2,-0.002994473969253401,71.76554107666016,1.000646710395813
223.4443817138672,1135,1601,1818624,134.27,74,-17.030944697062175,140.8843739827474,0.038289388020833336,0.0003,0.007727453,0.9682421088218689,365,0.2,-0.002471094423284133,66.6443099975586,1.0012316703796387
220.3895263671875,1134,1623,1843200,133.11,75,-17.040673192342123,146.5423370361328,0.03899739583333333,0.0003,0.0049661887,0.964864194393158,370,0.2,-0.0024874952194901805,69.27459716796875,1.0019161701202393
225.66802978515625,1133,1647,1867776,131.06,76,-17.042587025960287,150.87672220865886,0.03225911458333333,0.0003,0.0073369103,0.9626666903495789,375,0.2,-0.0026911489044626554,70.72235107421875,1.001340627670288
225.7378692626953,1132,1670,1892352,132.36,77,-17.0328857421875,129.63658243815104,0.0364013671875,0.0003,0.0068048313,0.9698280692100525,380,0.2,-0.0025466221384704115,61.03144836425781,1.0005829334259033
230.3406982421875,1133,1691,1916928,132.43,78,-17.025692876180013,129.2962855021159,0.03506673177083333,0.0003,0.005849371,0.9695086479187012,385,0.2,-0.0027264991076663136,62.060882568359375,1.0002330541610718
226.3441619873047,1132,1713,1941504,132.44,79,-17.016533660888673,125.65932261149088,0.0256591796875,0.0003,0.006834783,0.9713075160980225,390,0.2,-0.0021960203264219063,59.05910110473633,0.9985859990119934
228.3263702392578,1132,1736,1966080,133.85,80,-16.991097513834635,126.17000732421874,0.031062825520833334,0.0003,0.0054417583,0.9696794152259827,395,0.2,-0.00313808861731862,59.81985092163086,0.996368944644928
227.29734802246094,1132,1757,1990656,136.92,81,-16.969246419270835,122.40407206217448,0.04498697916666667,0.0003,0.008127176,0.9719200134277344,400,0.2,-0.0029927743249572813,58.97759246826172,0.995402991771698
226.8535919189453,1133,1778,2015232,133.89,82,-16.963131586710613,123.11805775960286,0.0443115234375,0.0003,0.005588858,0.9713492393493652,405,0.2,-0.0028897752054035664,60.855804443359375,0.995232343673706
