rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,train/clip_fraction,train/entropy_loss,train/loss,train/clip_range,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/std,train/value_loss,train/learning_rate
171.6292724609375,1363,127.07,24576,1,18,,,,,,,,,,,
170.22909545898438,1211,129.07,49152,2,40,0.0111083984375,-17.028393427530926,516.2327270507812,0.2,5,-0.004762668868837258,-0.003760218620300293,0.0045186803,1.0003196001052856,1065.5076090494792,0.0003
172.5256805419922,1191,128.89,73728,3,61,0.0009195963541666667,-17.03340924580892,512.5974731445312,0.2,10,-0.0026263263542205097,0.0376434326171875,0.0018388242,1.0006769895553589,1056.2242350260417,0.0003
171.41184997558594,1188,128.75,98304,4,82,0.0002685546875,-17.035748291015626,490.99615478515625,0.2,15,-0.0017776508582755923,0.08181625604629517,0.0015267028,1.0007072687149048,1022.1503011067708,0.0003
173.09292602539062,1176,129.47,122880,5,104,0.00013020833333333333,-17.035477193196616,479.5879821777344,0.2,20,-0.0017407241898278396,0.1299654245376587,0.0011881203,1.0007002353668213,1005.7421061197916,0.0003
175.42758178710938,1176,130.87,147456,6,125,7.32421875e-05,-17.037671025594076,461.64508056640625,0.2,25,-0.001492537511512637,0.1835290789604187,0.0011077599,1.001212239265442,970.8473795572917,0.0003
176.21261596679688,1179,129.67,172032,7,145,3.255208333333333e-05,-17.04362767537435,445.7803955078125,0.2,30,-0.0011059669156869253,0.24268484115600586,0.00070443534,1.0014338493347168,944.3458984375,0.0003
177.6107635498047,1182,131.83,196608,8,166,2.44140625e-05,-17.043686803181966,426.7029113769531,0.2,35,-0.00145328013265195,0.3007414937019348,0.0009508881,1.0012931823730469,902.6611368815104,0.0003
175.12460327148438,1181,134.35,221184,9,187,1.6276041666666666e-05,-17.042438888549803,419.48516845703125,0.2,40,-0.001192759012337774,0.3489453196525574,0.0008840235,1.0013192892074585,879.5748860677083,0.0003
178.8036346435547,1177,133.53,245760,10,208,8.138020833333333e-06,-17.043021774291994,425.7078857421875,0.2,45,-0.001279211820413669,0.38370877504348755,0.00091271574,1.001306414604187,877.4743611653646,0.0003
179.75088500976562,1184,133.08,270336,11,228,4.0690104166666664e-05,-17.041357930501302,410.6386413574219,0.2,50,-0.001280392884897689,0.4307193160057068,0.0008239244,1.0010126829147339,850.2543334960938,0.0003
177.69369506835938,1180,133.62,294912,12,249,0.0,-17.03694025675456,398.5084228515625,0.2,55,-0.0010738644011629125,0.4587166905403137,0.0005790318,1.0005549192428589,829.3156331380209,0.0003
182.5353546142578,1179,132.78,319488,13,270,0.0,-17.03080596923828,388.0693054199219,0.2,60,-0.0015335457089046638,0.49494266510009766,0.00079840916,1.0000430345535278,815.548164876302,0.0003
182.1714324951172,1175,133.92,344064,14,292,0.00010579427083333334,-17.02679697672526,364.1886291503906,0.2,65,-0.0011855477777620157,0.5522570610046387,0.0010279309,1.0000139474868774,765.9720947265625,0.0003
190.2320556640625,1172,133.82,368640,15,314,6.510416666666667e-05,-17.02779541015625,371.20465087890625,0.2,70,-0.0013885582021127144,0.5581810474395752,0.0010817697,1.000095009803772,780.4418701171875,0.0003
190.43011474609375,1175,135.23,393216,16,334,0.0002685546875,-17.02824338277181,355.09429931640625,0.2,75,-0.0015654086911429963,0.596577525138855,0.0014133811,1.0001260042190552,732.2416788736979,0.0003
190.00546264648438,1176,135.51,417792,17,355,0.0006591796875,-17.027145385742188,351.9830627441406,0.2,80,-0.002187774113068978,0.6202502846717834,0.0019675337,0.9997958540916443,722.0029215494792,0.0003
192.06747436523438,1175,134.33,442368,18,376,0.0006917317708333334,-17.024569829305012,345.01092529296875,0.2,85,-0.001787614643884202,0.6335524320602417,0.0018901689,0.9999726414680481,713.5638305664063,0.0003
192.3783416748047,1172,132.89,466944,19,398,0.00013020833333333333,-17.02827682495117,331.4131164550781,0.2,90,-0.001259112198992322,0.6639758348464966,0.0012533183,1.000203013420105,691.3167439778646,0.0003
195.0139617919922,1172,132.97,491520,20,419,4.8828125e-05,-17.028645324707032,329.349365234375,0.2,95,-0.001437318988610059,0.6786238551139832,0.0010802723,1.000028133392334,678.7431396484375,0.0003
