t,state,phase,stance,n_steps,contact_l,contact_r,pelvis_x,pelvis_y,pelvis_z,vx,vy,pitch_deg,roll_deg,hip_corr,roll_corr,ankle_corr,p_land_x_rel,stance_ankle_x_rel,foot_l_z,foot_r_z,foot_l_x_rel,foot_r_x_rel,tau_st_hip_pitch,lim_st_hip_pitch,tau_sw_hip_pitch,tau_st_knee,lim_st_knee,tau_sw_knee,tau_st_ankle,lim_st_ankle,tau_sw_ankle
0.002,WALK,-1.4500000000000002,l,1,False,False,0.0,0.0,0.7140000000000001,0.0,0.0,0.0,-0.0,-13.615310706355771,0.0,0.0023457279999999996,-1.0053119999999998e-05,0.0,0.05400000000000005,0.05400000000000005,0.0,0.0,-18.173116557131294,540.0,-4.558259049494476,-26.226879286932956,270.0,-26.227785682953993,-10.913769074698015,270.0,-10.916568000000101
0.012,WALK,-1.4300000000000002,l,1,False,False,6.881188419808338e-05,1.1163192418243565e-05,0.7135416242947512,0.00494192324477725,0.0008345773644315871,-0.010565053684329149,0.0028244622151924383,-16.360808785749715,-0.3975581341414999,-0.26261737913440747,0.0023609838646274873,-6.881188419808338e-05,0.05319381092129122,0.05325927425062188,8.645763298475439e-05,0.00019504956080370616,-6.511809586908054,540.0,4.806980555184374,1.1016217744787227,270.0,-2.268694247676599,0.019097370673999026,270.0,0.20507358106973683
0.022000000000000006,WALK,-1.4100000000000001,l,1,False,False,0.00015183213365823334,3.132992927077103e-05,0.7121255635627441,0.007151439188720819,0.001655305392541624,-0.025589265002238258,0.007574046391382511,-16.794924895783023,-0.5124354282432066,-0.22435677521045727,0.00274938883379645,-0.00015183213365823334,0.05115308217218273,0.05132873675974692,0.00012076239764947382,0.0006431758462882105,-4.051441339060615,540.0,4.302854435224713,2.918609815641698,270.0,-0.03979463853178089,0.10273236883446712,270.0,0.1865803853251773
0.032000000000000015,WALK,-1.3900000000000001,l,1,True,True,0.0002929514264681718,6.454556150021494e-05,0.7099621656030728,0.013249241367607804,0.002984356624685199,-0.06869047703156231,0.019139881971965183,-32.074527609802075,-2.0450220390873497,-0.3510250077325457,0.0048167032321842895,-0.0002929514264681718,0.048668969952342434,0.048855720265701064,-6.697264100321318e-05,0.001077077548904495,-30.399518788632292,540.0,-3.9193649222581435,-38.46456750418112,270.0,-36.60966729737046,-21.597120051025804,270.0,-7.1149392645948595
0.04200000000000002,WALK,-1.37,l,1,True,True,0.000776327743913914,0.00012698974821537026,0.7083922910465332,0.03891514720545595,0.005302166265622877,-0.23427897818741664,0.05188069852447502,-57.739726002523184,-4.132272785152407,-1.7449132963819154,0.017206986643000768,-0.000776327743913914,0.047857461301646864,0.04798018744440563,-0.0005915888883959621,0.0008395907328901206,-44.573216252624405,540.0,7.9369678536547745,-51.13961796656797,270.0,-52.46825588221023,-31.243253462752513,270.0,-24.093488040208094
0.05200000000000003,WALK,-1.35,l,1,True,True,0.0015102821415689633,0.000202283067657594,0.7077065417795343,0.06286636692623127,0.006812421959453384,-0.4903464761371137,0.10324318931304502,-71.58565002347652,-5.9759792371201215,-2.920930356836187,0.02823486468942719,-0.0015102821415689633,0.047888826099237725,0.047996232401466,-0.001340619416975702,0.00019947515132669505,-42.023399571391714,540.0,23.409546419809796,-43.31872741962371,270.0,-47.1830400052268,-29.555745565089026,270.0,-24.60629483566447
0.06200000000000004,WALK,-1.33,l,1,True,True,0.002269657828179912,0.00026701431522679187,0.7076004484446297,0.07120751111910593,0.006440810081658736,-0.7740886412775785,0.16746980348122822,-73.97815573721392,-7.149854394744374,-2.911102930337413,0.030278033195508255,-0.002269657828179912,0.04818687125842308,0.04830266876678063,-0.0021051189798357473,-0.0005024641360042059,-34.623938000713125,540.0,32.27268737844995,-34.77889574089842,270.0,-40.21316689267251,-24.966037133902773,270.0,-21.310367482010694
0.07200000000000005,WALK,-1.31,l,1,True,True,0.0028912658889276906,0.0002961255339793064,0.7077629524363089,0.06400650335287213,0.003795936528381455,-1.038657267353759,0.2360603607651069,-69.29254499210039,-7.503633490403207,-1.7248896667010452,0.02339401012407965,-0.0028912658889276906,0.04852656163659269,0.04865969981545304,-0.002730848078371184,-0.00107348456060089,-27.085693462407846,540.0,34.52317449101452,-29.744688035739056,270.0,-35.76420359677696,-19.88528933596451,270.0,-17.61674465942101
0.08200000000000006,WALK,-1.29,l,1,True,True,0.0033023648810136023,0.000273026238094798,0.7079914135183518,0.047304091755069236,-0.0006419452601534687,-1.2596391452422595,0.30148524181587655,-61.53592786920562,-7.221981701646864,0.21015306514515797,0.01092536694528806,-0.0033023648810136023,0.04882781195235286,0.048977213717431856,-0.003148582913733882,-0.0014383256313865492,-21.09489118499367,540.0,32.708523461922844,-27.955629568074343,270.0,-33.55269648134129,-15.06275719396407,270.0,-14.576520388107348
0.09200000000000007,WALK,-1.27,l,1,True,True,0.0034986348015321567,0.0001939221183210305,0.7081805638736516,0.027515985209786525,-0.00584508921222378,-1.43019304221566,0.3593526254073462,-53.49654544374245,-6.621998242426043,2.440221643314949,-0.0035790964546174374,-0.0034986348015321567,0.04906914456558292,0.04922525528903726,-0.003355073491592263,-0.0015987092268626257,-17.02833329984469,540.0,28.99269275886663,-28.198436634163222,270.0,-32.81221137654145,-10.753512411835269,270.0,-12.143508280289852
0.10200000000000008,WALK,-1.25,l,1,True,True,0.0035172357463517877,6.55999264187413e-05,0.7082887352309349,0.009381853166968705,-0.010799453532308777,-1.554762106424295,0.408480016630347,-46.78487031527782,-5.978976620570764,4.628835206312197,-0.017492401878167238,-0.0035172357463517877,0.04925035623403007,0.04940257424825362,-0.0033878929428304504,-0.0015911890793608384,-14.686341614479133,540.0,24.930921516502572,-29.340654713020992,270.0,-32.82634489161225,-7.03897687165098,270.0,-10.110585480665236
0.11200000000000009,WALK,-1.23,l,1,True,True,0.0034137184955972144,-9.997179806526557e-05,0.7083074111497163,-0.004423095857919827,-0.014846868138090075,-1.643428767574826,0.44999528459344945,-42.10075090887432,-5.485774102443647,6.584025158054397,-0.029323024641855943,-0.0034137184955972144,0.049375272844926765,0.04951712574954509,-0.0033037119029320516,-0.0014677185419491056,-13.726435357162014,540.0,21.40772152065105,-30.72428360804795,270.0,-33.248723124531836,-3.976456861948982,270.0,-8.410121858923354
0.1220000000000001,WALK,-1.21,l,1,True,True,0.00324649308442098,-0.0002882278543048094,0.7082444747178444,-0.012897800733992852,-0.0176089622019152,-1.7080666748381572,0.48649889851731515,-39.57896025733146,-5.261687298552295,8.23101321937951,-0.03850022112369611,-0.00324649308442098,0.04945199821745744,0.04958208364962652,-0.003161953818177902,-0.0012844985656353318,-13.818451842134877,540.0,18.84040822517326,-32.06989518314006,270.0,-33.93482117959612,-1.5113699919322805,270.0,-7.03349445893094
0.1320000000000001,WALK,-1.19,l,1,True,True,0.0030682305636179287,-0.00048421868322402875,0.7081151987901471,-0.01613465073604525,-0.018949361296125462,-1.759996205754938,0.5212256074615736,-39.01498869756644,-5.349887894404976,9.571562639523176,-0.04505464542482492,-0.0030682305636179287,0.0494925279240202,0.04961277019298621,-0.00301529005668607,-0.0010931296442899465,-14.6277656689469,540.0,17.34926370573109,-33.251482053469864,270.0,-34.78062623482681,0.4974643982407656,270.0,-5.933577897878566
0.1420000000000001,WALK,-1.17,l,1,True,True,0.0029217589184253553,-0.0006744756710862471,0.7079361432861084,-0.014839526875461324,-0.018930756939261703,-1.8086444424348875,0.5573681468311342,-40.016935972179894,-5.7381831126608365,10.650381089282305,-0.04935437210150378,-0.0029217589184253553,0.049509553677261675,0.04962278264317671,-0.002905643445411605,-0.0009354907607730619,-15.838534605273935,540.0,16.86005659128191,-34.2202228316816,270.0,-35.71090852309827,2.2117772749261277,270.0,-5.026557590384367
0.1520000000000001,WALK,-1.15,l,1,True,True,0.002838977836090433,-0.0008482108812295978,0.7077212744330802,-0.009977964531160564,-0.017760631874248804,-1.860957964047034,0.5976209461960615,-42.12421429187886,-6.375468911037329,11.530352045181251,-0.05191028561213836,-0.002838977836090433,0.04951364673575254,0.0496222024428552,-0.0028638520091374066,-0.0008423295000766985,-17.179788135204618,540.0,17.183217021319138,-34.98362757978213,270.0,-36.69088433730849,3.754624158982252,270.0,-4.212730775532173
0.16200000000000012,WALK,-1.13,l,1,True,True,0.0028416461462120474,-0.0009980025894326572,0.7074803036137907,-0.002539634535815057,-0.01573396324886145,-1.921346335292181,0.6439531930942373,-44.889142026094746,-7.1968590631836715,12.276048465507067,-0.05324654491469834,-0.0028416461462120474,0.04951217490792409,0.0496175105388062,-0.0029113265253996063,-0.0008342949450746168,-18.44519124500289,540.0,18.07816821303453,-35.58309673093849,270.0,-37.71469871454654,5.207009746063083,270.0,-3.407608392586744
0.17200000000000013,WALK,-1.1099999999999999,l,1,True,True,0.00294324400328695,-0.001119617405059484,0.707218653713408,0.006607630328262245,-0.01315909355092958,-1.991974156772795,0.6976009347758979,-47.9285588496553,-8.139147830939912,12.943514645021658,-0.05382029803945583,-0.00294324400328695,0.049509496956132604,0.049612265811776246,-0.0030613678596368,-0.0009241184094486554,-19.49688183473384,540.0,19.30909818322207,-36.07325020529266,270.0,-38.79054842609189,6.652661113596033,270.0,-2.5526086829924832
0.18200000000000013,WALK,-1.0899999999999999,l,1,True,True,0.0031512698275493523,-0.0012112526767721868,0.706938191746766,0.016790293843539698,-0.010294064153212452,-2.073216014665374,0.7591927206803009,-50.93973049941129,-9.154577404897708,13.575194118952238,-0.05398182990605324,-0.0031512698275493523,0.04950771155606548,0.04960795730898848,-0.0033216085362413384,-0.0011190308930073057,-20.241080458573272,540.0,20.668807244415923,-36.52284232002483,270.0,-39.92961559930053,8.090791249228136,270.0,-1.6070037902885312
0.19200000000000014,WALK,-1.0699999999999998,l,1,True,True,0.0034689742754652167,-0.0012720393267227703,0.7066388438553911,0.027509296167904616,-0.007276823878428545,-2.1640715145218086,0.82902932604645,-53.682046812683,-10.223439843001222,14.201317076246696,-0.05312267595802385,-0.0034689742754652167,0.04950860804016449,0.04960477566262206,-0.0036979137460517422,-0.0014224302156700367,-20.59658652308896,540.0,21.970761041153665,-36.99285495822112,270.0,-41.12292974697376,9.381943661851915,270.0,-0.5212619353995116
0.20200000000000015,WALK,-1.0499999999999998,l,1,True,True,0.0038967506418466974,-0.001301942935460055,0.7063197871127083,0.03841970180642465,-0.004216403496085172,-2.2625495142182808,0.907158580558665,-55.99105754860393,-11.315827757845256,14.841325001550295,-0.050395074548393835,-0.0038967506418466974,0.049513791035067145,0.04960226380402771,-0.004193523595145027,-0.0018351828308093626,-20.54279927813071,540.0,23.086169669797798,-37.484318244993084,270.0,-42.35966678410704,10.66775818305479,270.0,0.7225121769797056
